74;Agrigento;AG
144;Alessandria;AL
223;Ancona;AN
266;Aosta;AO
316;Arezzo;AR
373;Ascoli Piceno;AP
387;Asti;AT
412;Avellino;AV
532;Bari;BA
539;Barletta;BT
609;Belluno;BL
631;Benevento;BN
641;Bergamo;BG
691;Biella;BI
745;Bologna;BO
752;Bolzano;BZ
907;Brescia;BS
924;Brindisi;BR
1039;Cagliari;CA
1100;Caltanissetta;CL
1176;Campobasso;CB
1356;Carbonia;CI
1530;Caserta;CE
1832;Catania;CT
1833;Catanzaro;CZ
2059;Chieti;CH
2283;Como;CO
2398;Cosenza;CS
2446;Cremona;CR
2471;Crotone;KR
2488;Cuneo;CN
2639;Enna;EN
2743;Fermo;FM
2748;Ferrara;FE
2798;Firenze;FI
2823;Foggia;FG
2872;Forlì;FC
2958;Frosinone;FR
3088;Genova;GE
3198;Gorizia;GO
3277;Grosseto;GR
3346;Imperia;IM
3375;Isernia;IS
3422;L'Aquila;AQ
3429;La Spezia;SP
3498;Latina;LT
3523;Lecce;LE
3525;Lecco;LC
3614;Livorno;LI
3631;Lodi;LO
3683;Lucca;LU
3733;Macerata;MC
3827;Mantova;MN
3931;Massa;MS
3955;Matera;MT
4040;Messina;ME
4074;Milano;MI
4114;Modena;MO
4474;Monza;MB
4579;Napoli;NA
4671;Novara;NO
4693;Nuoro;NU
4724;Olbia;OT
4794;Oristano;OR
4897;Padova;PD
4937;Palermo;PA
4988;Parma;PR
5025;Pavia;PV
5096;Perugia;PG
5097;Pesaro;PU
5100;Pescara;PE
5145;Piacenza;PC
5282;Pisa;PI
5290;Pistoia;PT
5439;Pordenone;PN
5483;Potenza;PZ
5529;Prato;PO
5644;Ragusa;RG
5668;Ravenna;RA
5687;Reggio Calabria;RC
5688;Reggio Emilia;RE
5730;Rieti;RI
5740;Rimini;RN
5913;Roma;RM
6005;Rovigo;RO
6072;Salerno;SA
6467;Sanluri;VS
6668;Sassari;SS
6697;Savona;SV
6895;Siena;SI
6921;Siracusa;SR
6977;Sondrio;SO
7159;Taranto;TA
7202;Teramo;TE
7217;Terni;TR
7301;Torino;TO
7371;Tortolì;OG
7394;Trapani;TP
7429;Trento;TN
7452;Treviso;TV
7468;Trieste;TS
7521;Udine;UD
7684;Varese;VA
7729;Venezia;VE
7739;Verbania;VB
7743;Vercelli;VC
7766;Verona;VR
7808;Vibo Valentia;VV
7813;Vicenza;VI
8005;Viterbo;VT
